lambda[nm],I_Ref_Start[au],I_Ref_Stop[au],I_Ref_Mean[au],I_Dunkel[au],I_70_70[au],I_70_80[au],I_70_90[au],I_70_100[au],I_70_110[au],I_70_120[au],I_70_130[au],I_70_140[au],I_90_70[au],I_90_80[au],I_90_90[au],I_90_100[au],I_90_110[au],I_90_120[au],I_90_130[au],I_90_140[au]
600.09,28119.699,24166.99,26143.3445,141.269,26371.5,47202.221,38333.904,34874.221,25981.962,29002.779,33414.423,31616.596,29172.712,27187.538,25072.433,35758.683,26525.462,29951.327,27866.731,27629.721
600.218,28040.043,24085.24,26062.6415,145.677,26305.817,47165.106,38324.5,34847.606,25927.894,28930.712,33328.375,31584.856,29147.067,27150.981,24983.375,35686.298,26435.519,29857.587,27790.413,27541.231
600.346,28120.441,24116.462,26118.4515,144.484,26290.135,47123.279,38321.865,34868.413,25961.673,28970.231,33401.952,31658.096,29161.231,27211.942,25025.51,35780.337,26521.144,29960.712,27877.154,27607.173
600.474,28040.409,24098.885,26069.646999999997,135.839,26274.269,47191.952,38341.365,34889.962,25972.692,28890.798,33394.817,31621.337,29180.269,27212.567,24935.221,35688.029,26462.317,29878.154,27875.26,27581.76
600.602,28009.151,24098.058,26053.6045,142.978,26306.519,47040.096,38305.865,34865.423,25985.692,28912.288,33360.74,31543.231,29145.673,27197.904,24966.183,35707.779,26472.529,29849.423,27824.51,27558.375
600.73,27999.312,24125.096,26062.204,147.624,26337.452,47266.942,38353.096,34956.49,26014.462,28970.317,33474.692,31610.173,29203.308,27223.423,24974.673,35710.769,26468.933,29879.731,27854.202,27589.933
600.858,28077.323,24179.01,26128.1665,146.237,26353.558,47247.212,38399.981,34972.654,26057.865,29026.096,33488.087,31674.471,29238.154,27279.26,25033.462,35732.837,26549.442,29900.144,27911.865,27652.192
600.987,28110.591,24224.788,26167.6895,135.516,26417.096,47312.067,38438.971,35075.856,26152.471,29014.51,33582.452,31778.788,29342.712,27384.346,25175.962,35796.519,26639.606,30006.808,28050.952,27715.769
601.115,28043.849,24109.212,26076.5305,140.978,26317.779,47151.144,38324.702,34931.375,25982.5,28950.221,33504.673,31673.606,29231.808,27272.346,24974.49,35712.212,26511.596,29808.952,27858.394,27610.683
601.243,28104.387,24220.0,26162.1935,145.753,26380.154,47226.462,38446.144,35048.567,26108.712,28968.433,33623.981,31750.356,29273.981,27324.731,25065.817,35758.702,26613.144,29955.471,27994.788,27612.337
601.371,28154.968,24252.385,26203.6765,147.333,26431.019,47274.212,38469.365,35063.731,26184.019,29052.096,33667.394,31787.837,29387.212,27407.337,25111.452,35878.904,26645.125,29923.587,28064.144,27741.288
601.499,28126.237,24241.221,26183.729,136.441,26382.25,47300.0,38471.019,35111.962,26145.702,29047.942,33645.548,31787.548,29373.038,27408.26,25095.462,35815.423,26632.885,29956.904,28040.702,27722.096
601.627,28165.151,24311.971,26238.561,138.656,26439.288,47574.663,38566.154,35269.144,26237.279,29161.885,33790.538,31950.76,29406.779,27439.298,25188.577,35853.25,26670.577,30049.163,28071.731,27720.798
601.755,28109.785,24259.019,26184.402000000002,141.226,26406.865,47481.423,38509.346,35278.933,26247.702,29096.702,33767.519,31907.538,29422.029,27449.433,25154.51,35806.462,26674.096,29895.894,28054.058,27766.423
