Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
4210;0.613700;0.605504;0.325292;-0.072010;0.277361
4220;0.670966;-0.003874;0.641638;-0.316874;-0.188632
4230;0.105926;0.472700;0.082185;0.440367;0.727126
4240;1.068645;-0.184260;-0.326948;0.433610;0.132717
4250;-0.312377;0.305412;1.100121;0.337768;0.999009
4260;0.353065;0.497694;0.373618;1.251698;-1.001878
4270;-0.190224;0.059839;-0.691160;0.792996;-0.825867
4280;0.658227;0.245904;0.384031;-0.063777;1.414674
4290;0.081759;-0.394186;0.716301;-0.564109;0.276726
4300;0.308136;-1.169073;0.504595;0.647409;0.588077
4310;-0.098993;-0.616690;0.027989;-0.411395;-0.710851
4320;0.043024;-0.682568;1.013713;0.102630;-0.020683
4330;0.191872;-0.935783;0.109968;0.990342;0.175388
4340;0.477908;-0.133414;-0.453852;0.272936;0.489997
4350;0.793807;-0.773683;-0.635360;0.684577;0.499476
4360;0.100595;0.741671;-0.935703;-0.061651;0.205112
4370;0.699965;0.725799;0.425651;0.015095;0.187775
4380;-1.001884;0.811403;-0.328031;0.277577;0.038799
4390;0.319843;0.049525;-0.157740;-0.972331;0.451097
4400;-0.466400;0.457285;0.083540;-0.567588;0.134799
4410;-0.364811;-0.820287;-0.208881;0.465674;0.836083
4420;-0.449506;0.554071;-0.681105;0.427664;0.924712
