omega[deg],I[au],I_B[au],theta[deg],omega_corr[deg],theta_corr[deg],lambda[ang]
30.6,490,448,15.3,31.05198046272321,15.525990231361606,1.9925562950129005
30.7,450,448,15.35,31.15160221845835,15.575801109229175,1.998307366496135
30.8,503,444,15.4,31.251223974193493,15.625611987096747,2.0040523967503745
30.9,448,436,15.45,31.350845729928633,15.675422864964316,2.009791368407401
31.0,417,428,15.5,31.450467485663776,15.725233742831888,2.015524264117307
31.1,433,420,15.55,31.55008924139892,15.77504462069946,2.0212510665485572
31.2,416,416,15.6,31.649710997134058,15.824855498567029,2.0269717583880382
31.3,462,416,15.65,31.749332752869197,15.874666376434599,2.032686322341108
31.4,445,415,15.7,31.848954508604336,15.924477254302168,2.03839474113165
31.5,415,415,15.75,31.94857626433948,15.97428813216974,2.0440969975021273
31.6,434,408,15.8,32.04819802007462,16.02409901003731,2.0497930742136314
31.7,446,395,15.85,32.147819775809765,16.073909887904883,2.0554829540459374
31.8,423,381,15.9,32.24744153154491,16.123720765772454,2.0611666197975533
31.9,385,368,15.95,32.347063287280044,16.173531643640022,2.066844054285773
32.0,361,359,16.0,32.44668504301519,16.223342521507593,2.0725152403467315
32.1,397,356,16.05,32.54630679875033,16.273153399375165,2.078180160835451
32.2,390,353,16.1,32.64592855448547,16.322964277242736,2.0838387986258957
32.3,370,350,16.15,32.74555031022061,16.372775155110304,2.089491136611025
32.4,348,345,16.2,32.84517206595575,16.422586032977875,2.0951371577028435
32.5,363,339,16.25,32.944793821690894,16.472396910845447,2.1007768448324513
32.6,382,334,16.3,33.04441557742604,16.52220778871302,2.1064101809500997
32.7,325,328,16.35,33.14403733316118,16.57201866658059,2.112037149025237
32.8,456,331,16.4,33.243659088896315,16.621829544448158,2.1176577320465646
32.9,402,342,16.45,33.34328084463146,16.67164042231573,2.1232719130220903
33.0,430,354,16.5,33.4429026003666,16.7214513001833,2.1288796749791703
33.1,405,365,16.55,33.542524356101744,16.771262178050872,2.134481000964571
33.2,371,366,16.6,33.64214611183689,16.821073055918443,2.1400758740445145
33.3,385,355,16.65,33.74176786757202,16.87088393378601,2.1456642773047316
33.4,334,345,16.7,33.841389623307165,16.920694811653583,2.1512461938505116
33.5,371,334,16.75,33.9410113790423,16.97050568952115,2.156821606806755
